"FIPS_STATE","row_count"
"01","719"
"02","642"
"04","626"
"05","624"
"06","4040"
"08","1113"
"09","982"
"10","832"
"11","700"
"12","2192"
"13","1008"
"15","729"
"16","629"
"17","1705"
"18","864"
"19","969"
"20","830"
"21","874"
"22","593"
"23","1023"
"24","1059"
"25","907"
"26","1312"
"27","1293"
"28","546"
"29","838"
"30","526"
"31","877"
"32","910"
"33","1087"
"34","1049"
"35","487"
"36","2266"
"37","1145"
"38","810"
"39","1607"
"40","678"
"41","798"
"42","1640"
"44","878"
"45","844"
"46","884"
"47","747"
"48","2655"
"49","594"
"50","786"
"51","1085"
"53","1002"
"54","800"
"55","1090"
"56","736"
